2017NAICS;PART_NAICS;ISIC4;PART_ISIC4;ISIC4_TITLE;NOTES
561740;1;9601;1;Washing and (dry-) cleaning of textile and fur products;
561790;1;4390;1;Other specialized construction activities;
561790;1;8129;1;Other building and industrial cleaning activities;
561910;1;8292;1;Packaging activities;
561920;1;8230;0;Organization of conventions and trade shows;
561990;1;1313;1;Finishing of textiles;
561990;1;8299;1;Other business support service activities n.e.c.;
561990;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
561990;1;8423;1;Public order and safety activities;
562111;1;3811;1;Collection of non-hazardous waste;
562112;1;3812;0;Collection of hazardous waste;
562119;1;3811;1;Collection of non-hazardous waste;
562211;1;3822;0;Treatment and disposal of hazardous waste;
562212;1;3821;1;Treatment and disposal of non-hazardous waste;
562213;1;3821;1;Treatment and disposal of non-hazardous waste;
562219;1;3700;1;Sewerage;
562219;1;3821;1;Treatment and disposal of non-hazardous waste;
562910;1;3900;0;Remediation activities and other waste management services;
562920;1;3830;1;Materials recovery;
562991;1;3700;1;Sewerage;
562998;1;3700;1;Sewerage;
611110;1;8510;1;Pre-primary and primary education;
611110;1;8521;0;General secondary education;
611110;1;8522;1;Technical and vocational secondary education;
611210;1;8530;1;Higher education;
611310;1;8530;1;Higher education;
611410;1;8522;1;Technical and vocational secondary education;
611420;1;8549;1;Other education n.e.c.;
611430;1;8549;1;Other education n.e.c.;
611511;1;8522;1;Technical and vocational secondary education;
611512;1;8522;1;Technical and vocational secondary education;
611512;1;8549;1;Other education n.e.c.;
611513;1;8522;1;Technical and vocational secondary education;
611519;1;8522;1;Technical and vocational secondary education;
611610;1;8542;0;Cultural education;
611620;1;8541;1;Sports and recreation education;
611630;1;8549;1;Other education n.e.c.;
611691;1;8510;1;Pre-primary and primary education;
611691;1;8549;1;Other education n.e.c.;
611692;1;8549;1;Other education n.e.c.;
611699;1;8541;1;Sports and recreation education;
611699;1;8549;1;Other education n.e.c.;
611710;1;8550;0;Educational support services;
621111;1;8620;1;Medical and dental practice activities;
621112;1;8620;1;Medical and dental practice activities;
621210;1;8620;1;Medical and dental practice activities;
621310;1;8690;1;Other human health activities;
621320;1;8690;1;Other human health activities;
621330;1;8690;1;Other human health activities;
621340;1;8690;1;Other human health activities;
621391;1;8690;1;Other human health activities;
621399;1;8690;1;Other human health activities;
621410;1;8620;1;Medical and dental practice activities;
621410;1;8690;1;Other human health activities;
621410;1;8890;1;Other social work activities without accommodation;
621420;1;8620;1;Medical and dental practice activities;
621420;1;8690;1;Other human health activities;
621491;1;8620;1;Medical and dental practice activities;
621492;1;8690;1;Other human health activities;
621493;1;8620;1;Medical and dental practice activities;
621498;1;8620;1;Medical and dental practice activities;
621498;1;8690;1;Other human health activities;
621511;1;8690;1;Other human health activities;
621512;1;8690;1;Other human health activities;
621610;1;8690;1;Other human health activities;
621910;1;8690;1;Other human health activities;
621991;1;8690;1;Other human health activities;
621999;1;8690;1;Other human health activities;
622110;1;8610;1;Hospital activities;
622210;1;8610;1;Hospital activities;
622310;1;8610;1;Hospital activities;
623110;1;8710;0;Residential nursing care facilities;
623210;1;8720;1;Residential care activities for mental retardation, mental health and substance abuse;
623220;1;8720;1;Residential care activities for mental retardation, mental health and substance abuse;
623311;1;8730;1;Residential care activities for the elderly and disabled;
623312;1;8730;1;Residential care activities for the elderly and disabled;
623990;1;8790;0;Other residential care activities;
624110;1;8890;1;Other social work activities without accommodation;
624120;1;8810;0;Social work activities without accommodation for the elderly and disabled;
624190;1;8890;1;Other social work activities without accommodation;
624210;1;8890;1;Other social work activities without accommodation;
624221;1;8890;1;Other social work activities without accommodation;
624229;1;8890;1;Other social work activities without accommodation;
624230;1;8890;1;Other social work activities without accommodation;
624310;1;8890;1;Other social work activities without accommodation;
624410;1;8890;1;Other social work activities without accommodation;
711110;1;9000;1;Creative, arts and entertainment activities;
711120;1;9000;1;Creative, arts and entertainment activities;
711130;1;9000;1;Creative, arts and entertainment activities;
711190;1;9000;1;Creative, arts and entertainment activities;
711190;1;9329;1;Other amusement and recreation activities n.e.c.;
711211;1;9312;1;Activities of sports clubs;
711212;1;9311;1;Operation of sports facilities;
711219;1;9319;1;Other sports activities;
711310;1;9000;1;Creative, arts and entertainment activities;
711310;1;9311;1;Operation of sports facilities;
711310;1;9319;1;Other sports activities;
711310;1;9329;1;Other amusement and recreation activities n.e.c.;
711320;1;9000;1;Creative, arts and entertainment activities;
711320;1;9319;1;Other sports activities;
711320;1;9329;1;Other amusement and recreation activities n.e.c.;
711410;1;7490;1;Other professional, scientific and technical activities n.e.c.;
711510;1;3290;1;Other manufacturing n.e.c.;
711510;1;3319;1;Repair of other equipment ;
711510;1;7420;1;Photographic activities;
711510;1;9000;1;Creative, arts and entertainment activities;
712110;1;9102;1;Museums activities and operation of historical sites and buildings;
712120;1;9102;1;Museums activities and operation of historical sites and buildings;
712130;1;9103;1;Botanical and zoological gardens and nature reserves activities;
712190;1;9103;1;Botanical and zoological gardens and nature reserves activities;
713110;1;9321;0;Activities of amusement parks and theme parks;
713120;1;9329;1;Other amusement and recreation activities n.e.c.;
713210;1;9200;1;Gambling and betting activities;
713290;1;9200;1;Gambling and betting activities;
713910;1;9311;1;Operation of sports facilities;
713920;1;4922;1;Other passenger land transport;
713920;1;9329;1;Other amusement and recreation activities n.e.c.;
713930;1;9329;1;Other amusement and recreation activities n.e.c.;
713940;1;9311;1;Operation of sports facilities;
713950;1;9311;1;Operation of sports facilities;
713990;1;7990;1;Other reservation service and related activities;
713990;1;9312;1;Activities of sports clubs;
713990;1;9319;1;Other sports activities;
713990;1;9329;1;Other amusement and recreation activities n.e.c.;
721110;1;5510;1;Short term accommodation activities;
721110;1;5590;1;Other accommodation;
721120;1;5510;1;Short term accommodation activities;
721120;1;9200;1;Gambling and betting activities;
721191;1;5510;1;Short term accommodation activities;
721199;1;5510;1;Short term accommodation activities;
721211;1;5520;1;Camping grounds, recreational vehicle parks and trailer parks;
721214;1;5520;1;Camping grounds, recreational vehicle parks and trailer parks;
721310;1;5590;1;Other accommodation;
722310;1;5629;0;Other food service activities;
722320;1;5621;0;Event catering;
722330;1;5610;1;Restaurants and mobile food service activities;
722330;1;5630;1;Beverage serving activities;
722410;1;5630;1;Beverage serving activities;
722511;1;5610;1;Restaurants and mobile food service activities;
722513;1;5610;1;Restaurants and mobile food service activities;
722514;1;5610;1;Restaurants and mobile food service activities;
722515;1;5610;1;Restaurants and mobile food service activities;
722515;1;5630;1;Beverage serving activities;
811111;1;4520;1;Maintenance and repair of motor vehicles;
811112;1;4520;1;Maintenance and repair of motor vehicles;
811113;1;4520;1;Maintenance and repair of motor vehicles;
811118;1;4520;1;Maintenance and repair of motor vehicles;
811121;1;2920;1;"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers";
811121;1;4520;1;Maintenance and repair of motor vehicles;
811122;1;4520;1;Maintenance and repair of motor vehicles;
811191;1;4520;1;Maintenance and repair of motor vehicles;
811192;1;4520;1;Maintenance and repair of motor vehicles;
811198;1;4520;1;Maintenance and repair of motor vehicles;
811198;1;7120;1;Technical testing and analysis;
811211;1;3313;1;Repair of electronic and optical equipment;
811211;1;9512;1;Repair of communication equipment;
811211;1;9521;1;Repair of consumer electronics;
811212;1;3312;1;Repair of machinery;
811212;1;3313;1;Repair of electronic and optical equipment;
811212;1;9511;0;Repair of computers and peripheral equipment;
811213;1;3313;1;Repair of electronic and optical equipment;
811213;1;9512;1;Repair of communication equipment;
811213;1;9521;1;Repair of consumer electronics;
811219;1;3312;1;Repair of machinery;
811219;1;3313;1;Repair of electronic and optical equipment;
811310;1;3311;1;Repair of fabricated metal products;
811310;1;3312;1;Repair of machinery;
811310;1;3313;1;Repair of electronic and optical equipment;
811310;1;3314;0;Repair of electrical equipment;
811310;1;3315;1;Repair of transport equipment, except motor vehicles;
811310;1;3319;1;Repair of other equipment ;
811310;1;4520;1;Maintenance and repair of motor vehicles;
811310;1;8129;1;Other building and industrial cleaning activities;
811411;1;3312;1;Repair of machinery;
811411;1;9522;1;Repair of household appliances and home and garden equipment;
811412;1;9522;1;Repair of household appliances and home and garden equipment;
811420;1;9524;1;Repair of furniture and home furnishings;
811430;1;9523;1;Repair of footwear and leather goods;
811490;1;3311;1;Repair of fabricated metal products;
811490;1;3312;1;Repair of machinery;
811490;1;3315;1;Repair of transport equipment, except motor vehicles;
811490;1;3319;1;Repair of other equipment ;
811490;1;4540;1;Sale, maintenance and repair of motorcycles and related parts and accessories;
811490;1;9522;1;Repair of household appliances and home and garden equipment;
811490;1;9529;1;Repair of other personal and household goods;
812111;1;9602;1;Hairdressing and other beauty treatment;
812112;1;9602;1;Hairdressing and other beauty treatment;
812113;1;9602;1;Hairdressing and other beauty treatment;
812191;1;9609;1;Other personal service activities n.e.c.;
812199;1;9609;1;Other personal service activities n.e.c.;
812210;1;9603;1;Funeral and related activities;
812220;1;9603;1;Funeral and related activities;
812310;1;9601;1;Washing and (dry-) cleaning of textile and fur products;
812320;1;9601;1;Washing and (dry-) cleaning of textile and fur products;
812331;1;9601;1;Washing and (dry-) cleaning of textile and fur products;
812332;1;9601;1;Washing and (dry-) cleaning of textile and fur products;
812910;1;9609;1;Other personal service activities n.e.c.;
812921;1;7420;1;Photographic activities;
812922;1;7420;1;Photographic activities;
812930;1;5221;1;Service activities incidental to land transportation;
812930;1;9609;1;Other personal service activities n.e.c.;
812990;1;6190;1;Other telecommunications activities;
812990;1;9529;1;Repair of other personal and household goods;
812990;1;9609;1;Other personal service activities n.e.c.;
813110;1;9491;0;Activities of religious organizations;
813211;1;9499;1;Activities of other membership organizations n.e.c.;
813212;1;9499;1;Activities of other membership organizations n.e.c.;
813219;1;9499;1;Activities of other membership organizations n.e.c.;
813311;1;9499;1;Activities of other membership organizations n.e.c.;
813312;1;9499;1;Activities of other membership organizations n.e.c.;
813319;1;9499;1;Activities of other membership organizations n.e.c.;
813410;1;9499;1;Activities of other membership organizations n.e.c.;
813910;1;9411;0;Activities of business and employers membership organizations;
813920;1;9412;0;Activities of professional membership organizations;
813930;1;9420;0;Activities of trade unions;
813940;1;9492;0;Activities of political organizations;
813990;1;9319;1;Other sports activities;
813990;1;9499;1;Activities of other membership organizations n.e.c.;
814110;1;9700;0;Activities of households as employers of domestic personnel;
921110;1;8411;1;General public administration activities;
921120;1;8411;1;General public administration activities;
921130;1;8411;1;General public administration activities;
921140;1;8411;1;General public administration activities;
921150;1;8411;1;General public administration activities;
921150;1;8423;1;Public order and safety activities;
921190;1;8411;1;General public administration activities;
922110;1;8423;1;Public order and safety activities;
922120;1;8423;1;Public order and safety activities;
922130;1;8423;1;Public order and safety activities;
922140;1;8423;1;Public order and safety activities;
922150;1;8423;1;Public order and safety activities;
922160;1;8423;1;Public order and safety activities;
922190;1;8411;1;General public administration activities;
922190;1;8422;1;Defense activities;
922190;1;8423;1;Public order and safety activities;
923110;1;8411;1;General public administration activities;
923110;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
923120;1;8411;1;General public administration activities;
923120;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
923130;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
923130;1;8430;0;Compulsory social security activities;
923140;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
924110;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
924120;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
924120;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
924120;1;8423;1;Public order and safety activities;
925110;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
925120;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
926110;1;7990;1;Other reservation service and related activities;
926110;1;8411;1;General public administration activities;
926110;1;8412;1;Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security;
926110;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
926110;1;8421;1;Foreign affairs;
926120;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
926120;1;8423;1;Public order and safety activities;
926130;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
926140;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
926150;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
927110;1;5120;1;Freight air transport;
927110;1;8413;1;Regulation of and contribution to more efficient operation of businesses;
928110;1;8421;1;Foreign affairs;
928110;1;8422;1;Defense activities;
928110;1;8423;1;Public order and safety activities;
928110;1;8423;1;Public order and safety activities;
928120;1;8421;1;Foreign affairs;
928120;1;8423;1;Public order and safety activities;
928120;1;9900;0;Activities of extraterritorial organizations and bodies;
