GEO_ID;GEO_ID_F;NAME;NAICS2017;ciiu4;grupo;NAICS2017_F;NAICS2017_LABEL;YEAR;RCPTOT;RCPTOT_S;PAYANN;PAYANN_S;EMP;EMP_S;EMPQ1PW;EMPQ1PW_S;HOURS;HOURS_S;PAYANPW;PAYANPW_S;CSTMTOT;CSTMTOT_S;CSTMPRT;CSTMPRT_S;CSTRSL;CSTRSL_S;CSTFU;CSTFU_S;CSTELEC;CSTELEC_S;CSTCNT;CSTCNT_S;ELECPCH;ELECPCH_S;ELECGEN;ELECGEN_S;ELECSLD;ELECSLD_S;VALADD;VALADD_S;INVTOTB;INVTOTB_S;INVFINB;INVFINB_S;INVWIPB;INVWIPB_S;INVMATB;INVMATB_S;INVTOTE;INVTOTE_S;INVFINE;INVFINE_S;INVWIPE;INVWIPE_S;INVMATE;INVMATE_S;RPTOT;RPTOT_S;RPBLD;RPBLD_S;RPMCH;RPMCH_S;PCHTT;PCHTT_S;PCHTEMP;PCHTEMP_S;PCHCMPQ;PCHCMPQ_S;PCHEXSO;PCHEXSO_S;PCHDAPR;PCHDAPR_S;PCHCSVC;PCHCSVC_S;PCHRPR;PCHRPR_S;PCHRFUS;PCHRFUS_S;PCHADVT;PCHADVT_S;PCHPRTE;PCHPRTE_S;PCHTAX;PCHTAX_S;PCHOEXP;PCHOEXP_S
0100000US;null;United States;333413;2819;28;null;Industrial and commercial fan and blower and air purification equipment manufacturing;2018;6172295;1.0;1242795;1.0;24695;1.8;17156;1.2;35010;0.9;642662;1.3;2840047;1.2;2575516;1.3;156452;7.9;13519;2.7;35015;1.4;59545;2.0;394562;1.4;0;X;0;X;3390019;1.3;659605;0.5;167965;4.0;117463;1.9;374177;1.6;721207;0.8;191696;3.8;151503;2.4;378008;1.8;69934;3.0;56175;3.6;13760;2.2;509322;6.4;70135;11.0;5894;7.7;8011;13.8;6374;6.2;9714;6.2;41772;4.1;10427;7.5;18032;13.5;41555;8.1;19593;6.8;277814;8.8
0100000US;null;United States;333414;2512;25;null;Heating equipment (except warm air furnaces) manufacturing;2018;4434134;1.3;774760;1.5;13829;2.6;8863;2.7;17097;1.7;384764;1.8;1879426;1.9;1613882;1.9;194060;6.2;12890;1.8;30954;8.8;27639;2.7;377397;12.6;0;X;0;X;2560088;1.8;632531;0.9;197639;3.5;65662;2.9;369230;1.9;658682;0.9;205076;0.8;63605;4.5;390001;1.6;52567;1.9;45389;2.0;7178;3.1;452882;8.4;32026;7.1;5703;5.2;4095;7.4;2797;14.2;9681;10.4;18287;5.7;10112;4.7;26689;12.2;30853;6.2;16516;7.4;296123;11.4
0100000US;null;United States;333415;2813;28;null;Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing;2018;33426163;1.8;4653192;0.9;94949;1.0;69746;0.8;123086;0.9;2726250;0.8;16112977;0.9;14787270;0.9;1020716;2.2;36674;0.9;122854;1.9;145463;3.8;1586356;0.8;0;X;0;X;17468907;4.4;3381929;0.7;1230308;0.6;504067;2.5;1647555;1.1;3610052;1.4;1269360;1.4;620736;3.5;1719956;1.9;253663;7.7;193377;7.7;60285;16.4;1986859;6.4;185541;4.6;41004;3.7;18775;8.1;27247;6.0;27814;10.4;151248;2.9;38124;13.9;61232;6.6;174019;3.5;78828;3.8;1183027;9.6
0100000US;null;United States;333511;2593;25;null;Industrial mold manufacturing;2018;6686598;0.9;2024469;1.3;35811;1.3;28081;1.3;52897;1.3;1384175;1.2;2291782;1.0;1744544;1.1;68327;5.5;24552;1.3;93606;0.9;360754;2.2;1040956;1.1;3344(s);82.6;0;X;4439729;1.2;824336;3.3;231388;10.0;351915;2.2;241033;2.1;896706;2.4;214662;7.3;413553;2.0;268491;2.0;123656;1.5;99375;2.2;24281;6.5;665534;3.4;88731;4.6;14284;9.1;17552;4.6;47577;25.5;15129;3.2;83191;3.5;12200;13.2;19584;10.7;47930;5.3;31561;3.5;287796;4.0
0100000US;null;United States;333514;2593;25;null;Special die and tool, die set, jig, and fixture manufacturing;2018;9566989;0.5;2829348;0.5;46357;0.5;34156;0.7;65444;0.6;1849219;0.6;3866379;0.8;2971607;0.8;191230;3.0;21017;2.4;101330;0.9;581196;1.9;1082385;0.9;0;X;0;X;5687366;0.7;1331133;1.9;385120;3.8;652346;3.1;293668;3.4;1327453;3.5;385668;3.4;638554;6.0;303231;4.9;164787;1.0;134213;1.1;30574;1.6;1003060;2.7;102653;9.0;30935;2.1;36974;3.2;55146;1.1;39630;28.3;96856;3.3;14417;3.9;30317;5.3;75990;2.7;64640;3.6;455501;3.5
0100000US;null;United States;333515;2593;25;null;Cutting tool and machine tool accessory manufacturing;2018;5513265;0.5;1556061;0.7;25898;0.7;18521;0.8;36626;1.3;948281;1.1;1968019;1.2;1426794;1.6;279771;1.7;12710;4.4;70495;1.5;178249;1.8;792200;1.6;1637(s);61.9;0;X;3614527;0.8;967081;0.8;473550;1.8;251894;1.1;241636;1.6;1053258;0.8;508895;0.8;285830;1.1;258533;1.8;87195;9.6;69597;12.0;17598;6.5;580961;3.9;58724;8.1;8050;14.1;9136;8.2;11123;15.4;14666;7.0;80715;5.1;8647;8.5;18419;7.2;39921;6.4;30919;12.1;300641;4.8
0100000US;null;United States;333517;2822;28;null;Machine tool manufacturing;2018;8414504;0.9;1762613;1.7;26898;1.9;17401;2.0;34394;2.1;904376;2.0;3598490;1.1;2950055;0.9;474883;0.7;9586;2.1;37219;5.2;126747;9.6;410969;4.8;0;X;0;X;4971576;1.0;1986252;1.8;560711;4.6;900549;1.1;524992;1.2;2286582;1.7;665155;4.2;951667;1.1;669759;1.1;87062;1.1;68312;1.5;18750;0.8;954588;2.0;81687;1.2;21479;7.7;13766;3.5;10703;3.4;18333;2.1;47868;5.2;8505;2.4;108970;1.0;62471;2.8;32174;3.1;548632;2.8
0100000US;null;United States;333519;2822;28;null;Rolling mill and other metalworking machinery manufacturing;2018;3584649;1.8;917752;1.6;13085;1.4;8308;1.2;15652;1.4;521593;1.8;1611644;2.6;1350645;2.8;104944;6.1;6919;3.7;18877;2.9;130259;6.2;199261;3.5;D;D;16(s);56.5;1908854;2.4;735590;2.0;154901;6.3;476345;3.1;104344;9.0;677592;2.1;154425;4.2;412669;2.7;110498;2.7;54989;2.0;42084;2.3;12905;3.9;320247;6.4;57808;17.4;7572;10.3;9614;7.4;4391;4.3;9970;5.0;25786;6.1;8776;5.5;12867;12.6;26640;7.5;10241;5.1;146584;7.9
0100000US;null;United States;333611;2811;28;null;Turbine and turbine generator set units manufacturing;2018;14917978;0.2;2780907;0.5;37336;0.5;21026;0.5;34500;0.4;1111640;0.7;6479478;0.4;6101296;0.4;79786;0.0;34312;0.5;77118;1.7;186967;11.7;1033791;1.5;0;X;0;X;8910251;0.4;3992655;0.3;581800;0.3;1972601;0.4;1438254;0.4;4299563;0.4;583634;0.7;2442518;0.6;1273411;0.3;94929;2.1;73813;2.1;21116;3.0;844609;2.3;136424;1.3;33954;5.8;26946;4.2;30943;1.9;14005;4.1;107277;1.6;18608;5.4;24707;2.4;68989;1.8;52361;1.4;330393;4.5
0100000US;null;United States;333612;2814;28;null;Speed changer, industrial high-speed drive, and gear manufacturing;2018;3325930;2.1;636545;2.1;10843;2.3;7660;2.3;14528;2.7;397907;2.4;1525614;2.2;1328630;2.4;64420;7.6;7629;1.8;27202;3.5;97733;1.6;317936;5.2;0;X;0;X;1800777;2.6;573499;3.0;224230;2.8;164466;2.3;184802;7.4;577833;3.7;217983;3.5;171173;2.5;188676;7.5;25728;2.9;19357;3.6;6371;1.9;233118;9.4;29508;5.1;1500;10.9;1703;10.3;1683;17.6;3974;8.2;36411;5.8;3373;6.2;4531;23.3;12999;8.6;12290;5.3;125146;14.3
